Station,Location,Day,Time,Count
Location 6: Campus Drive at the Stamp,Street,3,12,3
Location 6: Campus Drive at the Stamp,Street,3,13,10
Location 6: Campus Drive at the Stamp,Street,3,14,2
Location 6: Campus Drive at the Stamp,Street,3,16,3
Location 6: Campus Drive at the Stamp,Street,3,17,3
Location 6: Campus Drive at the Stamp,Street,3,18,3
Location 6: Campus Drive at the Stamp,Street,4,8,3
Location 6: Campus Drive at the Stamp,Street,4,9,4
Location 6: Campus Drive at the Stamp,Street,4,10,9
Location 6: Campus Drive at the Stamp,Street,4,13,15
Location 6: Campus Drive at the Stamp,Street,4,14,2
Location 6: Campus Drive at the Stamp,Street,4,16,5
Location 6: Campus Drive at the Stamp,Street,4,17,3
Location 6: Campus Drive at the Stamp,Street,4,18,1
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,8,5
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,9,34
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,10,26
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,11,4
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,12,19
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,13,15
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,14,1
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,3,17,40
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,8,6
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,9,10
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,10,12
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,11,4
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,12,22
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,13,7
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Sidewalk,4,18,24
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,8,4
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,9,60
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,10,62
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,11,6
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,12,71
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,13,44
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,14,18
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,3,17,57
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,8,29
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,9,48
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,10,51
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,11,9
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,12,61
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,13,18
Location 7a: Regents Drive at Stadium Drive NORTH/SOUTH,Street,4,18,29
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,8,3
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,9,16
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,10,5
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,11,6
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,12,9
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,13,11
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,14,6
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,15,13
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,16,8
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,17,4
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,3,18,1
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,9,6
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,11,1
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,12,7
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,13,12
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,14,6
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,16,37
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,17,26
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Sidewalk,4,18,15
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,8,4
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,9,40
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,10,32
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,11,3
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,12,49
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,13,46
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,14,9
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,15,41
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,16,30
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,17,34
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,3,18,23
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,9,6
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,11,7
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,12,42
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,13,26
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,14,8
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,16,31
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,17,34
Location 7b: Regents Drive at Stadium Drive EAST/WEST,Street,4,18,40
Location 8: Regents Drive at Lot 11b,Sidewalk,3,10,8
Location 8: Regents Drive at Lot 11b,Sidewalk,3,11,3
Location 8: Regents Drive at Lot 11b,Sidewalk,3,12,5
Location 8: Regents Drive at Lot 11b,Sidewalk,3,13,8
Location 8: Regents Drive at Lot 11b,Sidewalk,3,14,2
Location 8: Regents Drive at Lot 11b,Sidewalk,3,16,2
Location 8: Regents Drive at Lot 11b,Sidewalk,3,17,7
