Id,Station,Gender,Helmet,Location,Comments,CreatedDate,Column1,Column2,Column3,,Time
35,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:20:28 AM,9
36,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:22:59 AM,9
37,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:23:07 AM,9
38,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:23:14 AM,9
39,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:25:11 AM,9
40,Location 5: Campus Drive at Paint Branch Drive,Female,TRUE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:25:34 AM,9
41,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:31:09 AM,9
42,Location 5: Campus Drive at Paint Branch Drive,Female,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:31:48 AM,9
43,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:37:20 AM,9
44,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:37:50 AM,9
45,Location 5: Campus Drive at Paint Branch Drive,Male,TRUE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:41:17 AM,9
46,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:42:52 AM,9
47,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:46:17 AM,9
48,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Sidewalk,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:48:30 AM,9
49,Location 5: Campus Drive at Paint Branch Drive,Male,FALSE,Street,I whilst enjoying my beautiful bike count shift I witnessed an impressive show of balance in which a male was both biking and texting. This ended in a slight accident when he didn't see the curb. I also noticed that the entrance of campus and the right into paint branch bikes would often cut off cars ( and buses :( ),4/28/2015 0:00,12:00:00,AM,3,9:50:49 AM,9
50,Location 1: Regents Drive @ Route 1,Male,TRUE,Sidewalk,My first bike count of 20 closed unexpectedly. Hopefully it saved.. It's under the same name I used for this bike count. ,4/28/2015 0:00,12:00:00,AM,3,9:47:24 AM,9
51,Location 1: Regents Drive @ Route 1,Male,TRUE,Sidewalk,My first bike count of 20 closed unexpectedly. Hopefully it saved.. It's under the same name I used for this bike count. ,4/28/2015 0:00,12:00:00,AM,3,9:47:51 AM,9
52,Location 1: Regents Drive @ Route 1,Female,TRUE,Street,My first bike count of 20 closed unexpectedly. Hopefully it saved.. It's under the same name I used for this bike count. ,4/28/2015 0:00,12:00:00,AM,3,9:52:37 AM,9
53,Location 1: Regents Drive @ Route 1,Male,FALSE,Sidewalk,My first bike count of 20 closed unexpectedly. Hopefully it saved.. It's under the same name I used for this bike count. ,4/28/2015 0:00,12:00:00,AM,3,9:52:43 AM,9
54,Location 1: Regents Drive @ Route 1,Male,TRUE,Sidewalk,My first bike count of 20 closed unexpectedly. Hopefully it saved.. It's under the same name I used for this bike count. ,4/28/2015 0:00,12:00:00,AM,3,9:53:45 AM,9
55,Location 1: Regents Drive @ Route 1,Male,TRUE,Sidewalk,My first bike count of 20 closed unexpectedly. Hopefully it saved.. It's under the same name I used for this bike count. ,4/28/2015 0:00,12:00:00,AM,3,9:57:06 AM,9
56,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:31:04 AM,8
57,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:37:34 AM,8
58,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:41:29 AM,8
